scheduled_date,platform,product_slug,text,url,asset,status,profile_url
2026-04-26,X,starter-kit,匿名で小さく収益化を始めるなら、最初に作るのは大きな教材ではなく小さなテンプレートで十分です。有料コンテンツ案内: 匿名ミニ収益化スターターキット https://note.com/tokumei_works/n/nc0c35b105216,https://note.com/tokumei_works/n/nc0c35b105216,site/assets/hero.png,draft,https://x.com/tokumei_works
2026-04-26,Instagram,starter-kit,売り込み感を下げる投稿の作り方\n\n・先に悩みを整理する\n・無料で1つ役に立つことを書く\n・最後に必要な人だけ案内する\n\nhttps://note.com/tokumei_works/n/nc0c35b105216,https://note.com/tokumei_works/n/nc0c35b105216,site/assets/hero.png,draft,https://x.com/tokumei_works
2026-04-26,YouTube Shorts,starter-kit,Hook: 投稿が続かないときは、30日分を先に作るより、3つの型を回します。\nScript: 共感、チェックリスト、制作過程。この3つを回すだけで販売導線を自然に置きやすくなります。\nDescription: https://note.com/tokumei_works/n/nc0c35b105216,https://note.com/tokumei_works/n/nc0c35b105216,site/assets/hero.png,draft,https://x.com/tokumei_works
2026-04-27,X,social-30,有料noteは無料部分を薄くしすぎると信頼が作れません。無料部分で全体像、有料部分でテンプレートを渡す形が始めやすいです。https://tokumei-works.github.io/tokumei-works/products/social-30/,https://tokumei-works.github.io/tokumei-works/products/social-30/,site/assets/hero.png,draft,https://x.com/tokumei_works
2026-04-27,Instagram,social-30,有料note公開前チェック\n\n・成果保証を書かない\n・PR表記を入れる\n・無料部分だけでも価値を出す\n・リンク先を確認する\n\nhttps://tokumei-works.github.io/tokumei-works/products/social-30/,https://tokumei-works.github.io/tokumei-works/products/social-30/,site/assets/hero.png,draft,https://x.com/tokumei_works
2026-04-27,YouTube Shorts,social-30,Hook: 匿名で副業を始めるなら、最初に大きな教材は作らなくていいです。\nScript: まず小さなテンプレートを1つ作ります。次に無料部分で価値を見せます。最後に必要な人だけ有料部分へ案内します。\nDescription: 30日分SNS投稿テンプレート https://tokumei-works.github.io/tokumei-works/products/social-30/,https://tokumei-works.github.io/tokumei-works/products/social-30/,site/assets/hero.png,draft,https://x.com/tokumei_works
2026-04-28,X,paid-note-template,今日のチェック: プロフィール導線、PR表記、購入前の注意、スマホ表示。小さく売って反応を見ます。https://tokumei-works.github.io/tokumei-works/products/paid-note-template/,https://tokumei-works.github.io/tokumei-works/products/paid-note-template/,site/assets/hero.png,draft,https://x.com/tokumei_works
2026-04-28,Instagram,paid-note-template,匿名で始める小さな収益化\n\n1. テーマを決める\n2. 扱わない話題を決める\n3. 最初の商品を1つ作る\n4. 投稿から販売ページへつなぐ\n\nnote有料記事テンプレート集\nhttps://tokumei-works.github.io/tokumei-works/products/paid-note-template/,https://tokumei-works.github.io/tokumei-works/products/paid-note-template/,site/assets/hero.png,draft,https://x.com/tokumei_works
2026-04-28,YouTube Shorts,paid-note-template,Hook: 有料noteが売れにくい原因は、無料部分が薄すぎることがあります。\nScript: 無料部分で全体像を渡し、有料部分で手順とテンプレートを渡すと、期待値がそろいやすくなります。\nDescription: https://tokumei-works.github.io/tokumei-works/products/paid-note-template/,https://tokumei-works.github.io/tokumei-works/products/paid-note-template/,site/assets/hero.png,draft,https://x.com/tokumei_works
2026-04-29,X,starter-kit,匿名で小さく収益化を始めるなら、最初に作るのは大きな教材ではなく小さなテンプレートで十分です。有料コンテンツ案内: 匿名ミニ収益化スターターキット https://note.com/tokumei_works/n/nc0c35b105216,https://note.com/tokumei_works/n/nc0c35b105216,site/assets/hero.png,draft,https://x.com/tokumei_works
2026-04-29,Instagram,starter-kit,売り込み感を下げる投稿の作り方\n\n・先に悩みを整理する\n・無料で1つ役に立つことを書く\n・最後に必要な人だけ案内する\n\nhttps://note.com/tokumei_works/n/nc0c35b105216,https://note.com/tokumei_works/n/nc0c35b105216,site/assets/hero.png,draft,https://x.com/tokumei_works
2026-04-29,YouTube Shorts,starter-kit,Hook: 投稿が続かないときは、30日分を先に作るより、3つの型を回します。\nScript: 共感、チェックリスト、制作過程。この3つを回すだけで販売導線を自然に置きやすくなります。\nDescription: https://note.com/tokumei_works/n/nc0c35b105216,https://note.com/tokumei_works/n/nc0c35b105216,site/assets/hero.png,draft,https://x.com/tokumei_works
2026-04-30,X,social-30,有料noteは無料部分を薄くしすぎると信頼が作れません。無料部分で全体像、有料部分でテンプレートを渡す形が始めやすいです。https://tokumei-works.github.io/tokumei-works/products/social-30/,https://tokumei-works.github.io/tokumei-works/products/social-30/,site/assets/hero.png,draft,https://x.com/tokumei_works
2026-04-30,Instagram,social-30,有料note公開前チェック\n\n・成果保証を書かない\n・PR表記を入れる\n・無料部分だけでも価値を出す\n・リンク先を確認する\n\nhttps://tokumei-works.github.io/tokumei-works/products/social-30/,https://tokumei-works.github.io/tokumei-works/products/social-30/,site/assets/hero.png,draft,https://x.com/tokumei_works
